"type"	"diam"	"time"	"price"
"1"	2	10.7	47.65	144
"2"	2	14	63.13	215
"3"	2	9	58.76	105
"4"	1	8	34.88	69
"5"	3	10	55.53	134
"6"	2	10.5	43.14	129
"7"	4	16	54.86	155
"8"	4	15	44.14	99
"9"	3	6.5	17.46	38.5
"10"	3	5	21.04	36.5
"11"	4	25	109.38	260
"12"	1	10.4	17.67	54
"13"	1	7.4	16.41	39
"14"	1	5.4	12.02	29.5
"15"	2	15.4	49.48	109
"16"	2	12.4	48.74	89.5
"17"	1	6	23.21	42
"18"	1	9	28.64	65
"19"	1	9	44.95	115
"20"	5	12.4	23.77	49.5
"21"	1	7.5	20.21	36.5
"22"	1	14	32.62	109
"23"	1	7	17.84	45
"24"	1	9	22.82	58
"25"	1	12	29.48	89
"26"	1	5.5	15.61	30
"27"	1	6	13.25	31
"28"	1	12	45.78	119
"29"	4	5.5	26.53	22
"30"	1	14.2	37.11	109
"31"	3	11	45.12	99
"32"	5	16	26.09	99
"33"	2	13.5	68.63	179
"34"	3	11.1	33.71	99
"35"	3	9.8	44.45	89
"36"	1	10	23.74	75
"37"	2	13	86.42	199
"38"	1	13	39.71	93
"39"	5	11.7	26.52	65
"40"	4	12.3	33.89	74
"41"	4	19.5	64.3	165
"42"	1	15.2	22.55	99
"43"	5	10	31.86	43.5
"44"	1	11	53.18	94
"45"	4	17.8	74.48	189
"46"	4	11.5	34.16	75
"47"	4	12.7	31.46	59.5
"48"	1	8	21.34	42
"49"	4	7.5	20.83	23
"50"	1	9	20.59	52.5
"51"	2	14	33.7	99
"52"	2	12.4	32.9	89
"53"	3	8.8	27.76	65
"54"	1	8.5	30.2	54.5
"55"	5	6	20.85	24.5
"56"	5	11	26.25	52
"57"	5	11.1	21.87	62.5
"58"	5	14.5	23.88	89
"59"	5	5	16.66	21.5
