"mid.price"	"city.mpg"	"hw.mpg"	"airbagstd"	"cylnbr"	"engsize"	"horsepwr"	"rpm.at.max"	"engrev.high"	"mantrans.op"	"fueltank"	"passengers"	"length"	"width"	"uturn"	"rearroom"	"luggage"	"weight"	"domestic"
"1"	15.9000000000001	25	31	0	4	1.8	140	6300	2890	1	13.2	5	177	68	37	26.5	11	2705	0
"2"	33.8999999999998	18	25	2	6	3.2	200	5500	2335	1	18	5	195	71	38	30	15	3560	0
"3"	29.1000000000001	20	26	1	6	2.8	172	5500	2280	1	16.9	5	180	67	37	28	14	3375	0
"4"	37.6999999999998	19	26	2	6	2.8	172	5500	2535	1	21.1	6	193	70	37	31	17	3405	0
"5"	30.0000000000001	22	30	1	4	3.5	208	5700	2545	1	21.1	4	186	69	39	27	13	3640	0
"6"	15.7	22	31	1	4	2.2	110	5200	2565	0	16.4	6	189	69	41	28	16	2880	1
"7"	20.8	19	28	1	6	3.8	170	4800	1570	0	18	6	200	74	42	30.5	17	3470	1
"8"	23.7000000000001	16	25	1	6	5.7	180	4000	1320	0	23	6	216	78	45	30.5	21	4105	1
"9"	26.3	19	27	1	6	3.8	170	4800	1690	0	18.8	5	198	73	41	26.5	14	3495	1
"10"	34.6999999999999	16	25	1	8	4.9	200	4100	1510	0	18	6	206	73	43	35	18	3620	1
"11"	40.0999999999999	16	25	2	8	4.6	295	6000	1985	0	20	5	204	74	44	31	14	3935	1
"12"	13.4000000000001	25	36	0	4	2.2	110	5200	2380	1	15.2	5	182	66	38	25	13	2490	1
"13"	11.4	25	33.9999999999999	1	4	2.2	110	5200	2665	1	15.6	5	184	68	39	26	14	2785	1
"14"	15.1	19	28	2	6	3.4	160	4600	1805	1	15.5	4	193	74	43	25	13	3240	1
"15"	15.9000000000001	21	29	0	4	2.2	110	5200	2595	0	16.5	6	198	71	40	28.5	16	3195	1
"16"	18.7999999999999	17	26	1	8	5	170	4200	1350	0	23	6	214	77	42	29.5	20	3910	1
"17"	18.4	20	28	2	6	3.3	153	5300	1990	0	18	6	203	74	40	31	15	3515	1
"18"	15.8	23	28	2	4	3	141	5000	2090	0	16	6	183	68	41	30.5	14	3085	1
"19"	29.4999999999999	20	26	1	6	3.3	147	4800	1785	0	16	6	203	69	44	36	17	3570	1
"20"	9.19999999999996	29	33	0	4	1.5	92	6000	3285	1	13.2	5	174	66	32	26.5	11	2270	1
"21"	11.2999999999999	23	29	1	4	2.2	93	4800	2595	1	14	5	172	67	38	26.5	13	2670	1
"22"	13.3	22	27	1	4	2.5	100	4800	2535	1	16	6	181	68	39	30.5	14	2970	1
"23"	15.6	21	27	1	4	2.5	100	4800	2465	0	16	6	192	69	42	30.5	16	3080	1
"24"	25.8	18	24	1	6	3	300	6000	2120	1	19.8	4	180	72	40	20	11	3805	1
"25"	12.2	29	33	0	4	1.5	92	6000	2505	1	13.2	5	174	66	36	26.5	11	2295	1
"26"	19.3	20	28	2	6	3.5	214	5800	1980	0	18	6	202	74	40	30	15	3490	1
"27"	7.39999999999997	31	33	0	4	1.3	63	5000	3150	1	10	4	141	63	33	26	12	1845	1
"28"	10.1	23	30	0	4	1.8	127	6500	2410	1	13.2	5	171	67	36	28	12	2530	1
