"x" "y"
0 0
1 3
2 1
3 5
4 4
5 4
6 6
7 2
8 1
9 6
10 1
11 1
12 3
13 2
14 1
15 5
16 5
17 2
18 2
19 1
20 4
21 0
22 2
23 2
24 2
25 6
26 4
27 4
28 1
29 3
30 4
31 3
32 3
33 3
34 8
35 5
36 7
37 7
38 4
39 6
40 4
41 3
42 5
43 5
44 6
45 4
46 5
47 12
48 4
49 2
50 4
51 6
52 7
53 4
54 6
55 3
56 4
57 3
58 6
59 4
60 1
61 7
62 4
63 3
64 7
65 8
66 7
67 5
68 3
69 4
70 5
71 4
72 6
73 4
74 7
75 1
76 3
77 10
78 7
79 3
80 6
81 1
82 6
83 6
84 5
85 10
86 7
87 8
88 4
89 13
90 4
91 10
92 6
93 13
94 6
95 1
96 7
97 12
98 2
99 8
100 7
