"x" "y"
0 0
1 0
2 6
3 5
4 2
5 2
6 8
7 1
8 8
9 2
10 3
11 2
12 0
13 0
14 0
15 3
16 1
17 6
18 11
19 3
20 3
21 4
22 0
23 0
24 3
25 1
26 0
27 0
28 4
29 4
30 0
31 11
32 3
33 9
34 0
35 1
36 3
37 1
38 12
39 1
40 12
41 8
42 2
43 11
44 0
45 0
46 0
47 4
48 5
49 2
50 0
51 1
52 0
53 3
54 2
55 2
56 5
57 14
58 13
59 5
60 2
61 0
62 16
63 4
64 0
65 5
66 1
67 4
68 2
69 4
70 28
71 0
72 6
73 8
74 7
75 12
76 5
77 6
78 0
79 0
80 23
81 0
82 9
83 5
84 4
85 0
86 9
87 0
88 4
89 3
90 3
91 3
92 2
93 4
94 13
95 16
96 0
97 9
98 27
99 8
100 1
